Protein.IDs,Intensity.H.F01,Intensity.H.F02,Intensity.H.F03,Intensity.H.F04,Intensity.H.F05,Intensity.H.F06,Intensity.H.F07,Intensity.H.F08,Intensity.H.F09,Intensity.H.F10,Intensity.H.F11,Intensity.H.F12,Intensity.H.F13,Intensity.H.F14,Intensity.H.F15,Intensity.H.F16,Intensity.H.F17,Intensity.H.F18,Intensity.H.F19,Intensity.H.F20,Intensity.H.F21,Intensity.H.F22,Intensity.H.F23,Intensity.H.F24,Intensity.H.F25,Intensity.H.F26,Intensity.H.F27,Intensity.L.F01,Intensity.L.F02,Intensity.L.F03,Intensity.L.F04,Intensity.L.F05,Intensity.L.F06,Intensity.L.F07,Intensity.L.F08,Intensity.L.F09,Intensity.L.F10,Intensity.L.F11,Intensity.L.F12,Intensity.L.F13,Intensity.L.F14,Intensity.L.F15,Intensity.L.F16,Intensity.L.F17,Intensity.L.F18,Intensity.L.F19,Intensity.L.F20,Intensity.L.F21,Intensity.L.F22,Intensity.L.F23,Intensity.L.F24,Intensity.L.F25,Intensity.L.F26,Intensity.L.F27,Intensity.M.F01,Intensity.M.F02,Intensity.M.F03,Intensity.M.F04,Intensity.M.F05,Intensity.M.F06,Intensity.M.F07,Intensity.M.F08,Intensity.M.F09,Intensity.M.F10,Intensity.M.F11,Intensity.M.F12,Intensity.M.F13,Intensity.M.F14,Intensity.M.F15,Intensity.M.F16,Intensity.M.F17,Intensity.M.F18,Intensity.M.F19,Intensity.M.F20,Intensity.M.F21,Intensity.M.F22,Intensity.M.F23,Intensity.M.F24,Intensity.M.F25,Intensity.M.F26,Intensity.M.F27,Percentage.H.F01,Percentage.H.F02,Percentage.H.F03,Percentage.H.F04,Percentage.H.F05,Percentage.H.F06,Percentage.H.F07,Percentage.H.F08,Percentage.H.F09,Percentage.H.F10,Percentage.H.F11,Percentage.H.F12,Percentage.H.F13,Percentage.H.F14,Percentage.H.F15,Percentage.H.F16,Percentage.H.F17,Percentage.H.F18,Percentage.H.F19,Percentage.H.F20,Percentage.H.F21,Percentage.H.F22,Percentage.H.F23,Percentage.H.F24,Percentage.H.F25,Percentage.H.F26,Percentage.H.F27,Percentage.L.F01,Percentage.L.F02,Percentage.L.F03,Percentage.L.F04,Percentage.L.F05,Percentage.L.F06,Percentage.L.F07,Percentage.L.F08,Percentage.L.F09,Percentage.L.F10,Percentage.L.F11,Percentage.L.F12,Percentage.L.F13,Percentage.L.F14,Percentage.L.F15,Percentage.L.F16,Percentage.L.F17,Percentage.L.F18,Percentage.L.F19,Percentage.L.F20,Percentage.L.F21,Percentage.L.F22,Percentage.L.F23,Percentage.L.F24,Percentage.L.F25,Percentage.L.F26,Percentage.L.F27,Percentage.M.F01,Percentage.M.F02,Percentage.M.F03,Percentage.M.F04,Percentage.M.F05,Percentage.M.F06,Percentage.M.F07,Percentage.M.F08,Percentage.M.F09,Percentage.M.F10,Percentage.M.F11,Percentage.M.F12,Percentage.M.F13,Percentage.M.F14,Percentage.M.F15,Percentage.M.F16,Percentage.M.F17,Percentage.M.F18,Percentage.M.F19,Percentage.M.F20,Percentage.M.F21,Percentage.M.F22,Percentage.M.F23,Percentage.M.F24,Percentage.M.F25,Percentage.M.F26,Percentage.M.F27
YNL207W,0,0,0,0,387090824.9,559791494.6,478548950.8,336405648.5,297276667.7,355517950.1,109037230.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,579803021.9,820573379.9,493404324.6,352545996.1,351225588.6,372404321.9,125356870.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,496692175.8,659095854.9,493012103.5,311568359.5,340556559.1,317999477.4,116627543.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.153384164,0.221816548,0.189624311,0.133300239,0.117795438,0.14087346,0.04320584,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.187316413,0.265101864,0.159403668,0.113896701,0.113470118,0.120312311,0.040498925,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.181569264,0.240937053,0.180223988,0.113895971,0.124492808,0.116246911,0.042634006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YNL208W,139507966.3,0,0,0,0,0,0,0,0,0,0,0,0,325779894.3,0,1126630496,35851316654,37585678778,17057523242,4707463823,1751306633,422551998.4,316367289.8,24524681.93,115371657.1,67817625.76,67562874.79,250408504,0,0,0,0,0,0,0,0,0,0,0,0,383619450.9,0,1934308173,52784962899,52816498439,21832002740,6325810753,2518519875,604831294,437206522.7,33645844.45,166300317,96101232.46,96062582.64,173658503.7,0,0,0,0,0,0,0,0,0,0,0,0,430076118.3,0,1480261303,46075654516,47575953084,19909654666,5331907477,2170649317,536166218.8,400665377.3,30157312.15,140261227.9,88260460.42,88395362.06,0.001401254,0,0,0,0,0,0,0,0,0,0,0,0,0.003272216,0,0.011316164,0.360099753,0.377520128,0.171330107,0.047282965,0.01759057,0.00424422,0.003177674,0.000246332,0.001158822,0.000681178,0.000678619,0.001785059,0,0,0,0,0,0,0,0,0,0,0,0,0.002734664,0,0.013788882,0.376282136,0.37650694,0.155631304,0.045094085,0.017953485,0.004311592,0.003116664,0.000239847,0.001185486,0.000685066,0.00068479,0.001395613,0,0,0,0,0,0,0,0,0,0,0,0,0.003456322,0,0.011896173,0.370288654,0.382345858,0.160004656,0.042850066,0.017444501,0.004308919,0.003219962,0.00024236,0.001127214,0.000709308,0.000710393
YNL209W,12176618188,30097750230,26931225974,39439455947,34305490991,16726171271,10895901855,9113633868,7873914270,7439792810,13681236159,23622867963,33626002616,36940759877,20285886415,8166069701,4419744497,1890141728,684670705.6,327876019,94848279.74,13040257.6,4840454.458,494132.1077,1198197.932,392068.6167,409939.926,14908852985,37131707781,32994893668,44782458232,40519171213,21061570741,13893451529,11461635156,10107165191,9391514773,19193316020,30813472698,45875198817,48484537847,28088945083,9450040504,5074472472,2267062136,987391893.9,398371604.3,120660827.2,15620078.26,5404237.832,470751.9443,1338439.169,287218.1752,332536.6503,14488804252,37201598062,32820015577,42108394089,40329542870,19688168823,12915840464,11238592324,8843503172,8868064438,17277532166,26338446316,41145132523,44385222964,25945342249,9137130353,4540439301,2402230537,860900683.2,404129864.4,120957392,15523973.18,4516453.641,330371.0056,1422503.944,271410.5704,364012.7139,0.035944629,0.08884671,0.079499325,0.116422852,0.101267703,0.04937463,0.032164033,0.026902888,0.023243311,0.021961812,0.040386169,0.069733256,0.099261895,0.109046855,0.059882691,0.024105736,0.013046814,0.005579582,0.002021106,0.00096787,0.000279986,3.85E-05,1.43E-05,1.46E-06,3.54E-06,1.16E-06,1.21E-06,0.034912947,0.086953527,0.077266104,0.104869744,0.094886152,0.049321132,0.032535121,0.026840392,0.02366855,0.021992668,0.044946129,0.072157741,0.10742868,0.113539124,0.065777552,0.022129722,0.011883194,0.005308914,0.002312234,0.00093289,0.000282559,3.66E-05,1.27E-05,1.10E-06,3.13E-06,6.73E-07,7.79E-07,0.036124257,0.092753002,0.081828607,0.104986886,0.10055176,0.049087589,0.03220246,0.028020656,0.022049092,0.02211033,0.043077261,0.065668414,0.102585231,0.110663597,0.064688306,0.022781179,0.011320465,0.005989369,0.002146443,0.001007598,0.000301577,3.87E-05,1.13E-05,8.24E-07,3.55E-06,6.77E-07,9.08E-07
YNL212W,0,0,0,0,0,149689843.9,1452786914,2043089634,259942167.5,0,0,0,0,0,3131252774,862408086.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139697728.1,1718320591,2220572942,271463582.9,0,0,0,0,0,4598845919,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,109876265.5,1492891520,2213916237,246112207.1,0,0,0,0,0,3666120421,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.018950074,0.183916414,0.258646134,0.032907532,0,0,0,0,0,0.396402787,0.109177059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.015610602,0.192014711,0.248139185,0.030334852,0,0,0,0,0,0.51390065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.014216257,0.193156633,0.286445868,0.031843041,0,0,0,0,0,0.474338201,0,0,0,0,0,0,0,0,0,0,0,0
YNL216W,1200015936,3887064453,2829711590,4448685881,3821489954,2885240558,2146429910,2713687793,1958569582,1329835773,708625293.9,327481645.5,0,0,0,534833881.2,0,0,0,0,0,0,0,0,0,0,0,1588033556,3191489753,3453750251,5186830105,4513729175,3590719567,2715738821,2996986770,2662995453,1586462398,882959757.4,257524309.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1448688622,3283511956,3085217685,4842533667,4570617677,3235992605,2653767889,3057761619,2330778069,1564436695,799484984.3,232303217.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.041679272,0.135006554,0.098282294,0.154512938,0.132729003,0.100210941,0.074550373,0.094252524,0.068025558,0.046188209,0.024612162,0.011374179,0,0,0,0.018575992,0,0,0,0,0,0,0,0,0,0,0,0.048672046,0.097816785,0.105854874,0.158972481,0.138342439,0.110052882,0.083235373,0.091855413,0.081618828,0.048623891,0.027062059,0.007892928,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.046573998,0.10556187,0.099186893,0.155682975,0.146941127,0.104034167,0.085316181,0.098304205,0.074932357,0.050295192,0.025702702,0.007468333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YNL220W,0,0,0,0,0,0,0,0,0,0,83127467.25,1070936060,4294436210,35502815408,55509843660,18912397275,4557964847,273084486.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120810151.4,1369341249,5501827519,52898926810,81560213840,27630004794,6156426983,417049911.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63007068.7,1414708372,4256028587,40141778449,59392433532,20441153878,4555650153,367237032.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00069155,0.008909276,0.035726054,0.295353205,0.46179465,0.157335047,0.037918388,0.00227183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000687771,0.007795647,0.031321853,0.301153095,0.464321534,0.157297359,0.035048481,0.002374261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000482325,0.010829723,0.032580292,0.307289021,0.454654563,0.15647892,0.034873923,0.002811233,0,0,0,0,0,0,0,0,0
YNL222W,541805325,922002569.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,498461174.5,67202600.58,0,2382556.302,0,0,0,0,0,0,691354182.2,1232764711,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,440571429.3,72764500.02,0,3578396.989,0,0,0,0,0,0,629612772.5,1097327331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,485188080.7,85767318.99,0,4618883.325,0,0,0,0,0,0,0.266655609,0.453773975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.245323295,0.033074519,0,0.001172602,0,0,0,0,0,0,0.283221947,0.505017589,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.180485634,0.029808894,0,0.001465935,0,0,0,0,0,0,0.27344575,0.476577839,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.210720977,0.037249417,0,0.002006017,0,0,0,0,0,0
YNL224C,0,78994321.95,195881869.9,305697645.9,265996847.2,156200481.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77646437.97,332967884.8,319742890.2,289020409.6,232505157.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59038982.72,246081086,395761493.2,349605707.2,199787488.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07877602,0.195340549,0.304852848,0.265261763,0.15576882,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.062023729,0.265973692,0.255409608,0.230868588,0.185724383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.047220807,0.196821606,0.316539617,0.279623103,0.159794867,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YNL225C,0,0,0,0,0,0,211769971.5,396800114.7,0,0,46116054.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,167851015.1,495838048.3,0,0,51051158.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,223713103.7,439930374,0,0,55160010.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.323467931,0.606092126,0,0,0.070439943,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.234841989,0.693731839,0,0,0.071426172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.311229853,0.612031496,0,0,0.076738652,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YNL227C,0,174043439.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4422635.501,0,0,0,0,0,0,183012692.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2059251.488,0,0,0,0,0,0,157422865.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,481085.9967,0,0,0,0,0,0,0.975218621,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.024781379,0,0,0,0,0,0,0.988873238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011126762,0,0,0,0,0,0,0.9969533,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0030467,0,0,0,0,0
