Protein.IDs,Intensity.H.F01,Intensity.H.F02,Intensity.H.F03,Intensity.H.F04,Intensity.H.F05,Intensity.H.F06,Intensity.H.F07,Intensity.H.F08,Intensity.H.F09,Intensity.H.F10,Intensity.H.F11,Intensity.H.F12,Intensity.H.F13,Intensity.H.F14,Intensity.H.F15,Intensity.H.F16,Intensity.H.F17,Intensity.H.F18,Intensity.H.F19,Intensity.H.F20,Intensity.H.F21,Intensity.H.F22,Intensity.H.F23,Intensity.H.F24,Intensity.H.F25,Intensity.H.F26,Intensity.H.F27,Intensity.L.F01,Intensity.L.F02,Intensity.L.F03,Intensity.L.F04,Intensity.L.F05,Intensity.L.F06,Intensity.L.F07,Intensity.L.F08,Intensity.L.F09,Intensity.L.F10,Intensity.L.F11,Intensity.L.F12,Intensity.L.F13,Intensity.L.F14,Intensity.L.F15,Intensity.L.F16,Intensity.L.F17,Intensity.L.F18,Intensity.L.F19,Intensity.L.F20,Intensity.L.F21,Intensity.L.F22,Intensity.L.F23,Intensity.L.F24,Intensity.L.F25,Intensity.L.F26,Intensity.L.F27,Intensity.M.F01,Intensity.M.F02,Intensity.M.F03,Intensity.M.F04,Intensity.M.F05,Intensity.M.F06,Intensity.M.F07,Intensity.M.F08,Intensity.M.F09,Intensity.M.F10,Intensity.M.F11,Intensity.M.F12,Intensity.M.F13,Intensity.M.F14,Intensity.M.F15,Intensity.M.F16,Intensity.M.F17,Intensity.M.F18,Intensity.M.F19,Intensity.M.F20,Intensity.M.F21,Intensity.M.F22,Intensity.M.F23,Intensity.M.F24,Intensity.M.F25,Intensity.M.F26,Intensity.M.F27,Percentage.H.F01,Percentage.H.F02,Percentage.H.F03,Percentage.H.F04,Percentage.H.F05,Percentage.H.F06,Percentage.H.F07,Percentage.H.F08,Percentage.H.F09,Percentage.H.F10,Percentage.H.F11,Percentage.H.F12,Percentage.H.F13,Percentage.H.F14,Percentage.H.F15,Percentage.H.F16,Percentage.H.F17,Percentage.H.F18,Percentage.H.F19,Percentage.H.F20,Percentage.H.F21,Percentage.H.F22,Percentage.H.F23,Percentage.H.F24,Percentage.H.F25,Percentage.H.F26,Percentage.H.F27,Percentage.L.F01,Percentage.L.F02,Percentage.L.F03,Percentage.L.F04,Percentage.L.F05,Percentage.L.F06,Percentage.L.F07,Percentage.L.F08,Percentage.L.F09,Percentage.L.F10,Percentage.L.F11,Percentage.L.F12,Percentage.L.F13,Percentage.L.F14,Percentage.L.F15,Percentage.L.F16,Percentage.L.F17,Percentage.L.F18,Percentage.L.F19,Percentage.L.F20,Percentage.L.F21,Percentage.L.F22,Percentage.L.F23,Percentage.L.F24,Percentage.L.F25,Percentage.L.F26,Percentage.L.F27,Percentage.M.F01,Percentage.M.F02,Percentage.M.F03,Percentage.M.F04,Percentage.M.F05,Percentage.M.F06,Percentage.M.F07,Percentage.M.F08,Percentage.M.F09,Percentage.M.F10,Percentage.M.F11,Percentage.M.F12,Percentage.M.F13,Percentage.M.F14,Percentage.M.F15,Percentage.M.F16,Percentage.M.F17,Percentage.M.F18,Percentage.M.F19,Percentage.M.F20,Percentage.M.F21,Percentage.M.F22,Percentage.M.F23,Percentage.M.F24,Percentage.M.F25,Percentage.M.F26,Percentage.M.F27
YHR128W,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004629777,0.699487115,0.560213658,0.158100743,0.01815309,0.001959686,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00201993,0.34471965,0.268535464,0.082254087,0.010227969,0.000747732,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001572784,0.259053889,0.200032985,0.062172808,0.008821379,0.00072315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003209453,0.484898264,0.388351157,0.109598554,0.01258408,0.001358493,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002850976,0.486545234,0.379017124,0.116095309,0.014435991,0.001055367,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002954268,0.486598577,0.37573559,0.116783424,0.016569798,0.001358343,0,0,0,0,0,0,0
YHR132C,0.00144855,0,0,0,0,0.00037783,0.002258628,0.000861061,0.000448628,0.00308942,0.000131286,0.00347532,0.001433818,0,0,0.012258816,0.076871103,0.057209921,0.014288828,0.002426586,0.000249047,0.000319013,5.04E-05,7.07E-05,2.15E-05,0,0,0.002077118,0,0,0,0,0.00102765,0.002937881,0.001764902,0.000724389,0.003103867,0.000525342,0.002690659,0.001651993,0,0,0.022695034,0.120015003,0.091323374,0.024606695,0.003361349,0.00041329,0.000475025,8.24E-05,0.000238376,2.76E-05,0,0,0.00139905,0,0,0,0,0.000423383,0.001772204,0.000566975,0.000427003,0.001694847,0.000159354,0.001347237,0.001501205,0,0,0.024956094,0.100341023,0.072593,0.018894978,0.002925638,0.000331886,0.00082754,5.77E-05,0.000108407,1.46E-05,0,0,0.008170489,0,0,0,0,0.002131136,0.0127397,0.00485678,0.00253047,0.017425751,0.000740512,0.019602403,0.008087392,0,0,0.069145371,0.433588435,0.32269031,0.080595571,0.013687063,0.001404741,0.001799381,0.000284417,0.000398861,0.000121216,0,0,0.007425122,0,0,0,0,0.003673563,0.01050211,0.006309036,0.002589491,0.011095464,0.001877953,0.009618359,0.005905416,0,0,0.081128449,0.429020335,0.326455724,0.087962108,0.01201589,0.001477399,0.001698084,0.000294591,0.000852129,9.88E-05,0,0,0.006073792,0,0,0,0,0.001838063,0.007693787,0.002461449,0.001853777,0.007357953,0.000691815,0.005848851,0.006517284,0,0,0.108343581,0.435617283,0.315152909,0.082030048,0.01270127,0.001440841,0.003592658,0.000250501,0.000470636,6.35E-05,0,0
YHR132W-A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006415282,0.048283182,0.030286724,0.005797529,0.001125826,0.000296728,0,7.93E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007956832,0.032594007,0.024785722,0.005486972,0.000953154,0.000186059,0,3.37E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008339204,0.033259028,0.019621822,0.003715386,0.001079211,0.000159718,0,2.13E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.069516287,0.523198726,0.328188298,0.062822286,0.012199496,0.003215357,0,0.000859549,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.110516932,0.452716581,0.344262893,0.076211648,0.013238893,0.002584283,0,0.000468771,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.125978101,0.502435175,0.296421571,0.056127331,0.016303349,0.002412814,0,0.000321659,0,0,0,0
YHR135C,0.001208954,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000384188,7.44E-05,4.22E-05,0,0,0,0,0,0,0.00168628,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000134125,8.20E-05,3.44E-05,0,0,0,0,0,0,0.001197649,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000131415,0.000155464,0.000203041,0,0,0,0,0,0,0.707070401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.22469658,0.043535704,0.024697315,0,0,0,0,0,0,0.870650233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06925088,0.04232275,0.017776137,0,0,0,0,0,0,0.709689072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.077872298,0.092123233,0.120315397,0,0,0,0,0,0
YHR138C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003825462,0.006431566,0,0.001854434,0.000546972,0,0,1.95E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004234386,0.007332613,0,0.002790703,0.000944431,0,0,2.37E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004556319,0.006935766,0,0.004725793,0.001471607,0.000120631,0,4.16E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.301741043,0.507302731,0,0.146272248,0.043143504,0,0,0.001540474,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.276290044,0.478446644,0,0.182090988,0.061623311,0,0,0.001549014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.255232002,0.388521826,0,0.26472541,0.08243523,0.006757396,0,0.002328137,0,0,0,0,0
YHR143W-A,0.022911412,0.048422627,0.020997199,0.01687218,0.015207414,0.024825948,0.025108634,0.01772227,0.017139298,0.011124223,0,0,0,0,0,0,0,0.004609056,0.004476343,0.000987204,0.000246297,0.000102872,0,0,0,0,0,0.01379514,0.033475267,0.012143466,0.008724024,0.013301345,0.015781614,0.018855378,0.010530073,0.009979081,0.006654793,0,0,0,0,0,0,0,0.003389746,0.002878742,0.000846892,0.000185649,7.76E-05,0,0,0,0,0,0.013627214,0.026404825,0.011700576,0.008053818,0.012590314,0.017065605,0.019662146,0.014443734,0.012045991,0.005857184,0,0,0,0,0,0,0,0.006516552,0.006934878,0.001523844,0.000328401,0.000137471,0,0,0,0,0,0.099289779,0.209846164,0.090994271,0.073117932,0.065903437,0.107586687,0.108811746,0.076801913,0.074275521,0.048208361,0,0,0,0,0,0,0,0.019973981,0.019398851,0.004278187,0.001067361,0.000445809,0,0,0,0,0,0.091589732,0.222251519,0.080623814,0.057921198,0.088311292,0.104778485,0.125186049,0.069912058,0.066253866,0.044183003,0,0,0,0,0,0,0,0.022505457,0.01911276,0.005622752,0.001232577,0.000515439,0,0,0,0,0,0.086856984,0.168298775,0.074576998,0.051333336,0.080248,0.108772565,0.125322365,0.092061307,0.076778605,0.037332454,0,0,0,0,0,0,0,0.041535128,0.044201449,0.009712663,0.00209316,0.000876211,0,0,0,0,0
YHR146W,0.014264892,0.065597883,0.050143957,0.070022235,0.050130855,0.046377381,0.036143413,0.031938843,0.084174518,0.104604542,0.071259205,0.043400197,0.006526072,0.006054359,0,0,0,0.001716722,0.002810183,0.000260334,0,0,0,0,0,0,0,0.012646002,0.048169716,0.041491929,0.05604049,0.038678402,0.038478036,0.03072593,0.028626927,0.087492538,0.119323495,0.074454528,0.045978368,0.010118123,0.009908045,0,0,0,0.002511034,0.002221259,0.000194788,0,0,0,0,0,0,0,0.021499959,0.086123507,0.064399705,0.085825164,0.058152636,0.051333834,0.036421646,0.028417383,0.05069013,0.057307408,0.049874628,0.029522124,0.005290636,0.001641368,0,0,0,0.001050409,0.001650859,0.00019382,0,0,0,0,0,0,0,0.02081173,0.095703872,0.073157404,0.10215877,0.073138289,0.067662168,0.052731345,0.046597097,0.122806208,0.152612541,0.103963443,0.063318611,0.009521197,0.008832993,0,0,0,0.002504608,0.00409991,0.000379814,0,0,0,0,0,0,0,0.019543797,0.074444016,0.064123813,0.086607925,0.05977564,0.059465983,0.04748547,0.044241561,0.135215577,0.184408813,0.11506595,0.071057391,0.01563708,0.015312415,0,0,0,0.003880684,0.00343285,0.000301035,0,0,0,0,0,0,0,0.034159712,0.136835338,0.102319978,0.136361322,0.092394467,0.081560572,0.057867689,0.0451503,0.080537837,0.091051547,0.079242147,0.046905542,0.008405905,0.00260785,0,0,0,0.001668918,0.002622929,0.000307946,0,0,0,0,0,0,0
YHR148W,0.038355076,0.017501483,0.003191392,0,0.000673285,0.000667195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.029440753,0.012529355,0.002897329,0,0.000969576,0.001130631,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.023667626,0.0132915,0.00498018,0,0.000639464,0.001535904,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.635139459,0.289815166,0.052847744,0,0.011149242,0.011048389,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.626830527,0.266765666,0.061687759,0,0.020643495,0.024072553,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.536502344,0.301294297,0.112891688,0,0.014495489,0.034816182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YHR158C,0.016146097,0.014841649,0.020145874,0.014215069,0.008018827,0.018695516,0.003020491,0.001240856,0,0,0.001712256,0.00063943,0,0,0,0,0,0.040087646,0.028276178,0.00184869,0,0,0,0,0,0,0,0.015130861,0.011500942,0.017321044,0.009409616,0.008100479,0.019715798,0.003483389,0.00100025,0,0,0.001254355,0.000825959,0,0,0,0,0,0.03459913,0.025979233,0.001750284,0,0,0,0,0,0,0,0.026331386,0.020490387,0.016610171,0.008138067,0.00495422,0.011782893,0.001781764,0.00075436,0,0,0.001588627,0.000409597,0,0,0,0,0,0.035691589,0.027296832,0.0014148,0,0,0,0,0,0,0,0.095602068,0.087878346,0.119284998,0.084168324,0.047479983,0.110697336,0.017884522,0.007347185,0,0,0.010138377,0.003786104,0,0,0,0,0,0.2373615,0.167425047,0.01094621,0,0,0,0,0,0,0,0.100824455,0.0766365,0.115418733,0.062700954,0.053977524,0.131376172,0.023211556,0.006665166,0,0,0.00835839,0.005503774,0,0,0,0,0,0.230551213,0.17311255,0.011663014,0,0,0,0,0,0,0,0.167454848,0.130308925,0.105632632,0.051754159,0.031506435,0.074933486,0.011331158,0.004797364,0,0,0.0101029,0.002604837,0,0,0,0,0,0.2269812,0.173594616,0.008997439,0,0,0,0,0,0,0
YHR161C,0,0.000833074,0.002138745,0.001971772,0.002233313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000871011,0.003405779,0.003076589,0.003124739,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00093134,0.002879144,0.001613286,0.005416284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.116077057,0.298003875,0.274738509,0.311180558,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.083126622,0.325037284,0.293620422,0.298215671,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.085916533,0.265602367,0.148826379,0.499654722,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
